Company_Brand,Sector,Main Sector,industry,Stage,Amount,HeadQuarter,What it does,Year,Founded,Founders,Investor,Years of Existence
AdonMo,Ad-Tech,Adtech,Business,,3000000.0,Bangalore,It is an online and outdoor advertising company,2020,2017,"Sandeep Bommireddi, Sravanth Gajula",Ant Financial,3
Chtrbox,"Advertising, Internet, Marketing",Adtech,Business,Angel,146000.0,Mumbai,Chtrbox connects social media influencers with brands .,2018,2016,,,2
Quikr,"Classifieds, Internet, Marketplace, Rental Property",Adtech,Business,Debt Financing,8030000.0,Bangalore,"Quikr is a free classifieds and online marketplace that helps users sell, buy, rent, or discover anything across India.",2018,2016,,,2
Fixpocket,"Computer, Digital Marketing, Facilities Support Services, Graphic Design, Internet, Mobile Apps, Social Media Marketing, Web Development",Adtech,Business,Seed,250000.0,Ahmedabad,Fixpocket is a internet-based startup.,2018,2016,,,2
Next Digital Solutions,"Digital Marketing, Sem, Seo, Web Development",Adtech,Business,Angel,1460.0,Kota,Next Digital Solutions is website design & Digital Marketing development company.,2018,2016,,,2
Optimized Electrotech,Aeorspace,Aerospace,Technology,Pre-series A,1800000.0,Ahmadabad,"Long distance, multispectral Surveillance Equipment for Defense, Aerospace, Critical Asset Protection",2021,2017,"Anil Yekkala, Dharin Shah, Kuldeep Saxena, Purvi Shah, Sandeep Shah",GVFL,4
Asteria Aerospace,Aerospace,Aerospace,Aerospace,Seed,101098638.0252758,Bangalore,Asteria Aerospace is a robotics and artificial intelligence company.,2018,2016,,,2
Vistara,Aerospace,Aerospace,Aerospace,Private Equity,292000000.0,Haryana,Vistara is a joint venture of Tata Sons Limited and Singapore Airlines Limited (SIA),2018,2016,,,2
FarmTaaza,"Agriculture, Farmers Market, Farming",Agribusiness,Agriculture,Series A,101098638.0252758,Bengaluru,Farm Taaza provides expert advice to the farmers on improving the yield and improving the field operations of the farmer.,2018,2016,,,2
Happy Cow Dairy,"Agriculture, Farming",Agribusiness,Agriculture,Seed,584000.0,Mumbai,A startup which aggregates milk from dairy farmers in rural Maharashtra.,2018,2016,,,2
Taru Naturals,"Agriculture, Farming",Agribusiness,Agriculture,Seed,101098638.0252758,Mumbai,Taru Naturals is a network that connects farmer communities with clean technology and renewable energy.,2018,2016,,,2
CropIn Technologies,"Agriculture, Mobile",Agribusiness,Agriculture,Series B,8468000.0,Bengaluru,"To discover, develop and deliver innovative solution in Agtech Space",2018,2016,,,2
Agricxlab Private Limited,"B2B, Farming, Marketplace",Agribusiness,Agriculture,Seed,500000.0,Thane,Online marketplace where farmers and traders can sell their produce to B2B buyers,2018,2016,,,2
FarmersFZ,Agriculture,Agriculture,Agriculture,Seed,101098638.0252758,Kochi,FarmersFZ is an online venture for fresh and safe vegetables and agri products.,2018,2016,,,2
Hemp Horizons,Cannabis Startup,Agriculture,Agriculture,Seed,200000.0,Noida,Cannabis and Hemp company,2021,2017,Rohit Shah,Mumbai Angels,4
Gramophone,Farming,Agriculture,Agriculture,Seed,1000000.0,Indore,An agricultural inputs startup Company.,2018,2016,,,2
Vegrow,Farming,Agriculture,Agriculture,,13000000.0,Bangalore,Vegrow is in the business of fresh fruits & vegetables with addressable market size of $43 Billion.,2021,2020,"Praneeth Kumar, Shobhit Jain, Mrudhukar Batchu, Kiran Naik","Lightspeed Venture Partners, Elevation Capital",1
Gourmet Garden,Farming,Agriculture,Agriculture,,3000000.0,Bangalore,"100% contamination free, pesticide free naturoponically grown vegetables.",2021,2019,Arjun Balaji,"Beyond Next Ventures, M Venture Partners",2
Aquaconnect,Fishery,Agriculture,Agriculture,Pre-series A,4000000.0,Chennai,Aquaconnect is a global full-stack aquaculture technology venture that provides data-driven farm advisory and marketplace solutions to fish and shrimp farmers,2021,2017,Rajamanohar,"Rebright Partners, Flourish Ventures",4
Satyukt,Agri Tech,Agritech,Agriculture,Seed,500000.0,Bangalore,An agritech company that provides business to business (B2B) agricultural data,2020,2018,"Sat Tomer, Yukti Gill","NABVENTURES, Social Alpha (India)",2
Fasal,"Agriculture, Agtech, Artificial Intelligence, Internet Of Things, Machine Learning",Agritech,Agriculture,Seed,120000.0,Bengaluru,Climate Smart Precision Agriculture Platform,2018,2016,,,2
Carmel Organics,"Agriculture, Agtech, Manufacturing",Agritech,Agriculture,Series A,101098638.0252758,Indore,"Carmel Organics is an India-based herb company engaged in sourcing, processing, and distributing herbal tea ingredients.",2018,2016,,,2
AgNext Technologies,"Agriculture, Analytics, Big Data, Farming",Agritech,Agriculture,Series A,101098638.0252758,Mohali,AgNext is an agricultural sensing and solutions company focused on building data-driven solutions for agricultural stakeholders,2018,2016,,,2
