Company_Brand,Sector,Main Sector,industry,Stage,Amount,HeadQuarter,What it does,Year,Founded,Founders,Investor
TheCollegeFever,"Brand Marketing, Event Promotion, Marketing, Sponsorship, Ticketing",Marketing & Communication,business,Seed,250000.0,Bangalore,"TheCollegeFever is a hub for fun, fiesta and frolic of Colleges.",2018,,,
Happy Cow Dairy,"Agriculture, Farming",Agribusiness,agriculture,Seed,584000.0,Mumbai,A startup which aggregates milk from dairy farmers in rural Maharashtra.,2018,,,
MyLoanCare,"Credit, Financial Services, Lending, Marketplace",Finance,finance,Series A,949000.0,Gurgaon,Leading Online Loans Marketplace in India,2018,,,
PayMe India,"Financial Services, FinTech",Fintech,finance,Angel,2000000.0,Noida,PayMe India is an innovative FinTech organization which offers short term financial suport to corporate employees.,2018,,,
Eunimart,"E-Commerce Platforms, Retail, SaaS",E-Commerce,business,Seed,0.0,Hyderabad,Eunimart is a one stop solution for merchants to create a difference by selling globally.,2018,,,
Hasura,"Cloud Infrastructure, PaaS, SaaS",Technology,technology,Seed,1600000.0,Bengaluru,"Hasura is a platform that allows developers to build, deploy, and host cloud-native applications quickly.",2018,,,
Tripshelf,"Internet, Leisure, Marketplace",Technology,technology,Seed,233600.0,Kalkaji,Tripshelf is an online market place for holiday packages.,2018,,,
Hyperdata.IO,Market Research,Business,business,Angel,730000.0,Hyderabad,Hyperdata combines advanced machine learning with human intelligence.,2018,,,
Freightwalla,"Information Services, Information Technology",Technology,technology,Seed,0.0,Mumbai,Freightwalla is an international forwarder thats helps you manage supply chain by providing online tools including instant quotations.,2018,,,
Microchip Payments,Mobile Payments,Finance,finance,Seed,0.0,Bangalore,Microchip payments is a mobile-based payment application and point-of-sale device,2018,,,
BizCrum Infotech Pvt. Ltd.,"B2B, Shoes",Business,business,Seed,0.0,Delhi,Building Transactionary B2B Marketplaces,2018,,,
Emojifi,Internet,Technology,technology,Seed,0.0,Bengaluru,"Emojifi is an app that provides live emoji, stickers & GIFs suggestions based on the typed words across chat platforms.",2018,,,
Flock,"Apps, Collaboration, Developer Platform, Enterprise Software, Messaging, Productivity Tools, Video Chat",Technology,technology,Seed,0.0,India,Flock is a real-time messaging and collaboration app for teams that speeds up and simplifies communication and boosts productivity.,2018,,,
Freshboxx,Food Delivery,food,food,Seed,0.0,Hubli,"Freshboxx is incubated at Sandbox Startups, a unit of the Deshpande Foundation.",2018,,,
Wide Mobility Mechatronics,Industrial Automation,Technology,technology,Seed,0.0,Bangalore,Wide Mobility Mechatronics is a Private Company limited by Shares,2018,,,
Pitstop,"Automotive, Search Engine, Service Industry",E-Commerce,business,Seed,1460000.0,Bengaluru,Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,2018,,,
Mihuru,"Finance, Internet, Travel",Fintech,finance,Seed,150000.0,Mumbai,Mihuru is an online platform which gives micro loans for air travel .,2018,,,
Fyle,"Accounting, Business Information Systems, Business Travel, Finance, SaaS",E-Business,business,Seed,1100000.0,Bengaluru,Fyle is an intelligent expense management platform for enterprises.,2018,,,
AppWharf,"Artificial Intelligence, Product Search, SaaS, Service Industry, Software",Technology,technology,Seed,0.0,New Delhi,Appwharf is an intelligent assistant that helps find you the best-fit SaaS for your business.,2018,,,
Antariksh Waste Ventures Pvt ltd,"Internet of Things, Waste Management",Technology,technology,Seed,7300.0,Chennai,Waste Management for Smart Cities,2018,,,
